publishedAt,authorDisplayName,comment,likeCount
2026-06-16T08:16:00Z,@SunaryoNaryo-m8w,26 orang yg di sebut pak Sony Sonjaya wajib di publikasikan media sesuai UU publik dan dua tersangka sudah masuk tersangka BGN MBG SPPG ada 5 tersangka dan masih 24 orang daftar kemana,0
2026-06-16T08:15:49Z,@asnamoasnamo9569,Yang tak di korupsi pejabat Konoha  kentut saja,0
2026-06-16T08:14:28Z,@asnamoasnamo9569,Kalao hukumnya bobrok  maling² di DPR tetap saja maling,0
2026-06-16T08:14:23Z,@gap618,Video diulang2 dengan judul yg berbeda,0
2026-06-16T08:13:18Z,@asnamoasnamo9569,Bobroknya orang² hukum diindonesia  hukumnya di jual,0
2026-06-16T08:12:32Z,@irsansunesi,"Bongkar aja semua jangan ada yg ditutupi,termasuk para petinggi negeri ini kalau terlibat beberkan aja.",0
2026-06-16T08:11:59Z,@MahdaLena-w5l9i,"paling di hukum 2 thn bsk itu korupsi 1 t,   meraja lela korutor di negara ini siapa yg punya akses jd perampok duit rakyat.",0
2026-06-16T08:11:39Z,@PersadakitoKito-sc9fz,HIDUP MAHASISWA INDONESIA NEGERI INI KE DEPAN DI TANGAN KALIAN JANGAN BIARKAN BANGSA INI RUSAK BERAT HUKUM TUMPUL KE ATAS DPR BAGUN DARI⁉️😭,0
2026-06-16T08:09:05Z,@selinee447,reportenya sangat bekerja keras. harusnya berita” lapangan seperti ini sering” ditayangkan krn cenderung menunjukan fakta.,0
2026-06-16T08:05:41Z,@kokonut21,Teriak asing terus sedangkan program sendiri korup rusak dan busuk 💩💩,0
2026-06-16T08:02:01Z,@FeriIrawan-pv7ef,"Kenapa di negri ini,tidak di terap kan hukuman mati seperti negara lain?",1
2026-06-16T07:55:28Z,@Rini-r9v8c,Basmi terus para korupsi,0
2026-06-16T07:44:33Z,@jajamjamilah664,Suruh koroptor mkn besi2 itu kedalam perutnya krn mereka kelaparan terus smp melakukan kebodohan smp tdk ketahuan sm pak prabowo,0
2026-06-16T07:43:28Z,@yuliprasetyo7308,BANCAAN,0
2026-06-16T07:42:17Z,@asihrahayu3649,omon omon,0
2026-06-16T07:40:01Z,@kurniawan9249,"Klo sekedar menyebut nama orang besar yg terlibat korupsi MBG itu gampang dan semua orang bisa, tapi menyebut nama dan disertai fakta dan data itu tdk gampang",0
